player_height,player_weight,pts,reb,ast,net_rating,usg_pct,ts_pct
213.36,122.46984,0,0,0,-147.5,0.126,0
195.58,87.996848,5,1.7,2,6.6,0.144,0.565
190.5,80.285784,1.3,1,1,-57.4,0.115,0.5
210.82,120.20188,1.7,1.8,0.3,-3.9,0.175,0.444
210.82,106.59412,2.6,2.1,0.5,-15.4,0.158,0.472
213.36,122.46984,4.4,6.6,0.8,-6.6,0.112,0.452
190.5,86.18248,0.8,0,0.8,-0.3,0.106,0.388
213.36,110.676448,1,2,0,-62.2,0.229,0.193
228.6,124.7378,6.7,5.9,0.7,10,0.138,0.601
185.42,92.079176,16.7,2.4,3.4,2.4,0.213,0.533
200.66,95.25432,2.1,0.9,0.7,2.5,0.145,0.502
200.66,99.79024,4.8,2.4,1,3.7,0.208,0.443
213.36,120.20188,5.9,4.4,0.5,-8.2,0.203,0.462
203.2,97.52228,3.9,1.2,0.4,-7.4,0.176,0.463
210.82,117.93392,0,0.7,0,-65.5,0.045,0
205.74,106.59412,4.8,1.4,0.2,-1.1,0.238,0.726
190.5,88.45044,1.3,0.4,1.3,-3,0.116,0.352
208.28,99.79024,5.2,4.6,0.5,-7.3,0.194,0.44
210.82,108.86208,6.3,4.4,0.7,-15.3,0.141,0.523
190.5,91.625584,16.2,3.7,3.9,4,0.24,0.582
187.96,83.91452,7.2,2.7,4.6,1.8,0.165,0.54
200.66,111.13004,4,1,0,39.1,0.288,0.667
193.04,90.7184,1.7,0,0.3,19.1,0.192,0.434
218.44,108.86208,0.9,0.9,0.1,-11.1,0.163,0.287
198.12,97.52228,5.1,1.2,1,4.3,0.166,0.493
200.66,98.429464,15.4,5.1,2.7,-7.6,0.229,0.502
205.74,127.00576,10,7.5,1.3,-11.9,0.17,0.577
187.96,91.625584,2.8,0.6,1.2,-2.3,0.239,0.51
210.82,104.779752,2.9,2.3,0.3,3.5,0.134,0.494
200.66,98.429464,8.6,3.5,2,4.9,0.158,0.514
200.66,102.0582,4.5,3,1,-3.2,0.134,0.468
190.5,83.460928,1.5,1,0.8,6.4,0.165,0.352
218.44,111.583632,1.2,1.1,0.3,-32.4,0.222,0.281
205.74,112.490816,1.8,2.5,1,1.6,0.085,0.529
208.28,111.13004,23,10.5,5.4,7.5,0.303,0.485
182.88,79.3786,7,1.3,2.8,-12.1,0.19,0.468
208.28,100.243832,3.7,2.3,0.5,3.2,0.18,0.528
205.74,95.25432,9.2,5.4,2.6,-9.9,0.191,0.435
208.28,106.140528,2.6,1.4,0.5,-0.7,0.216,0.491
203.2,117.93392,3.5,4.3,0.7,-6.2,0.159,0.442
208.28,106.59412,1.9,1.2,0.3,2.5,0.119,0.459
210.82,99.79024,3.1,1.5,0.4,11.1,0.192,0.434
210.82,108.86208,3.4,4,0.2,-2.3,0.119,0.498
182.88,86.18248,3.7,0.9,1.7,-14.5,0.201,0.504
203.2,91.625584,5.6,3,0.6,-5.3,0.177,0.363
177.8,77.564232,6.9,2.6,3.5,4.4,0.187,0.46
190.5,83.91452,4.6,1.4,1.6,3,0.155,0.505
215.9,131.54168,1.9,2,0.4,1.8,0.186,0.342
210.82,114.305184,7.4,7.2,1.2,3.1,0.12,0.566
190.5,90.7184,13.4,1.7,2.8,-9.5,0.238,0.466
193.04,95.25432,17.5,4.2,2.8,1.6,0.205,0.537
195.58,92.98636,7.9,1.8,1.2,-0.3,0.214,0.459
200.66,111.13004,12,4.4,1.3,8.1,0.249,0.515
208.28,109.769264,3,4.1,1,0.1,0.104,0.502
198.12,103.418976,16.8,5,1.9,-6.7,0.244,0.564
198.12,90.7184,4.4,3.4,1.1,-2.9,0.164,0.4
208.28,102.0582,12.2,3.9,3.3,3.2,0.205,0.477
200.66,122.46984,6.6,7.6,0.9,-2.8,0.128,0.522
180.34,72.57472,7.1,1.5,2.7,4.6,0.191,0.475
210.82,111.13004,8.3,6.6,3.1,-0.4,0.143,0.545
200.66,90.7184,7.1,2.9,1.4,8.9,0.108,0.563
185.42,81.64656,9.4,3.6,3.9,0.9,0.167,0.53
205.74,120.20188,6,4.8,0.2,-0.9,0.151,0.574
205.74,108.86208,3.1,2.4,0.8,0.5,0.146,0.487
203.2,115.66596,7.2,6.4,3.2,-3.3,0.117,0.524
190.5,86.18248,4.1,1.2,1.3,1.4,0.171,0.512
187.96,82.553744,1.7,0.4,0.3,-20.8,0.184,0.445
187.96,88.45044,4.1,1.7,4.1,-7.2,0.171,0.39
205.74,101.151016,22.2,7,1.9,-2.3,0.244,0.542
205.74,102.0582,2.1,1.6,0.5,-7.7,0.149,0.404
200.66,97.52228,10.6,4.4,4.1,0.5,0.192,0.499
208.28,115.66596,4.7,4.4,0.7,4.5,0.137,0.562
205.74,102.0582,12,5.3,1.7,2.1,0.194,0.598
187.96,90.7184,13.6,4,6.7,-5.3,0.201,0.495
